left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.2945243205512531,0.8873574158084612,-0.0187628532619124,0.5866762239865873,-0.421101096357372,-0.1692696023452686,0.4640275906876887
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3002383988830456,0.8856535534884025,-0.0044204485772913,0.5958212475430329,-0.4252553679903081,-0.1606691409233898,0.4608616425354435
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3059524772148382,0.8839496911683437,0.0099219561073296,0.6049662710994785,-0.4294096396232441,-0.152068679501511,0.4576956943831983
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3116665555466308,0.8822458288482848,0.0242643607919506,0.6141112946559242,-0.4335639112561801,-0.1434682180796322,0.4545297462309531
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3173806338784234,0.880541966528226,0.0386067654765716,0.6232563182123699,-0.4377181828891162,-0.1348677566577534,0.451363798078708
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3230947122102159,0.8788381042081672,0.0529491701611926,0.6324013417688155,-0.4418724545220522,-0.1262672952358746,0.4481978499264628
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3288087905420085,0.8771342418881085,0.0672915748458137,0.6415463653252611,-0.4460267261549883,-0.1176668338139957,0.4450319017742176
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3345228688738011,0.8754303795680497,0.0816339795304347,0.6506913888817067,-0.4501809977879243,-0.109066372392117,0.4418659536219724
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3402369472055936,0.8737265172479909,0.0959763842150557,0.6598364124381524,-0.4543352694208603,-0.1004659109702381,0.4387000054697272
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3459510255373862,0.8720226549279322,0.1103187888996767,0.668981435994598,-0.4584895410537964,-0.0918654495483593,0.435534057317482
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3516651038691787,0.8703187926078733,0.1246611935842977,0.6781264595510437,-0.4626438126867324,-0.0832649881264805,0.4323681091652369
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3573791822009713,0.8686149302878144,0.1390035982689187,0.6872714831074893,-0.4667980843196684,-0.0746645267046017,0.4292021610129917
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.363093260532764,0.8669110679677557,0.1533460029535398,0.6964165066639351,-0.4709523559526045,-0.0660640652827229,0.4260362128607465
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3688073388645565,0.865207205647697,0.1676884076381608,0.7055615302203806,-0.4751066275855405,-0.0574636038608441,0.4228702647085013
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3745214171963491,0.8635033433276382,0.1820308123227818,0.7147065537768262,-0.4792608992184766,-0.0488631424389653,0.4197043165562561
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3802354955281416,0.8617994810075794,0.1963732170074028,0.7238515773332719,-0.4834151708514126,-0.0402626810170864,0.4165383684040109
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3859495738599342,0.8600956186875206,0.2107156216920239,0.7329966008897175,-0.4875694424843486,-0.0316622195952076,0.4133724202517657
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3916636521917268,0.8583917563674618,0.2250580263766449,0.7421416244461632,-0.4917237141172847,-0.0230617581733288,0.4102064720995205
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.3973777305235194,0.8566878940474031,0.2394004310612659,0.7512866480026088,-0.4958779857502208,-0.01446129675145,0.4070405239472754
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.4030918088553119,0.8549840317273442,0.2537428357458869,0.7604316715590544,-0.5000322573831568,-0.0058608353295712,0.4038745757950301
0.2945243022038442,0.8873732303282251,0.0187596774915306,0.5867050606188062,0.4210673979851735,-0.1692746237734788,-0.464030107760875,-0.4088058871871045,0.8532801694072855,0.2680852404305079,0.7695766951155001,-0.5041865290160928,0.0027396260923075,0.400708627642785
