left_w0,left_w1,left_w2,left_e0,left_e1,left_s0,left_s1,right_s0,right_s1,right_w0,right_w1,right_w2,right_e0,right_e1
-0.04256796686382023,0.7209709703061444,-0.13345632854603098,-0.6454224165027879,0.5457136652902359,0.03604854851530722,0.5434126941084079,-0.8011214664731573,0.48205346259299126,-0.002684466378799474,0.7294078646395142,2.942558646361195,1.1293933550806359,1.3610244540513334
-0.04441833118920701,0.7210515042975084,-0.1334735858298947,-0.6476332663133277,0.5485975491714605,0.0381251750069071,0.541964999739841,-0.8014090878708858,0.48211673930049154,-0.0019634954084933294,0.7318296368083883,2.942558646361195,1.1299225784524565,1.3612142841738342
-0.04626869551459379,0.7211320382888724,-0.13349084311375842,-0.6498441161238676,0.551481433052685,0.04020180149850698,0.5405173053712741,-0.8016967092686144,0.4821800160079918,-0.0012425244381871847,0.7342514089772624,2.942558646361195,1.1304518018242766,1.3614041142963351
-0.04811905983998057,0.7212125722802364,-0.13350810039762212,-0.6520549659344074,0.5543653169339097,0.04227842799010685,0.5390696110027072,-0.8019843306663428,0.4822432927154921,-0.0005215534678810405,0.7366731811461364,2.942558646361195,1.1309810251960972,1.3615939444188359
-0.04996942416536735,0.7212931062716004,-0.13352535768148582,-0.6542658157449472,0.5572492008151342,0.044355054481706735,0.5376219166341404,-0.8022719520640713,0.4823065694229924,0.00019941750242510404,0.7390949533150106,2.942558646361195,1.1315102485679178,1.3617837745413368
-0.05181978849075414,0.7213736402629644,-0.13354261496534953,-0.6564766655554871,0.5601330846963588,0.04643168097330661,0.5361742222655735,-0.8025595734617998,0.48236984613049266,0.0009203884727312485,0.7415167254838848,2.942558646361195,1.1320394719397382,1.3619736046638375
-0.053670152816140904,0.7214541742543283,-0.13355987224921323,-0.658687515366027,0.5630169685775833,0.04850830746490649,0.5347265278970066,-0.8028471948595284,0.48243312283799283,0.0016413594430373926,0.7439384976527588,2.942558646361195,1.1325686953115586,1.3621634347863383
-0.05552051714152769,0.7215347082456923,-0.13357712953307696,-0.6608983651765667,0.565900852458808,0.05058493395650637,0.5332788335284399,-0.8031348162572569,0.4824963995454931,0.0023623304133435375,0.746360269821633,2.942558646361195,1.1330979186833792,1.3623532649088392
-0.05737088146691448,0.7216152422370563,-0.13359438681694066,-0.6631092149871066,0.5687847363400325,0.05266156044810625,0.531831139159873,-0.8034224376549853,0.4825596762529934,0.0030833013836496824,0.748782041990507,2.942558646361195,1.1336271420551995,1.36254309503134
-0.059221245792301244,0.7216957762284203,-0.1336116441008044,-0.6653200647976465,0.5716686202212571,0.05473818693970613,0.5303834447913062,-0.8037100590527139,0.4826229529604937,0.0038042723539558265,0.7512038141593811,2.9425586463611944,1.1341563654270201,1.3627329251538407
-0.06107161011768803,0.7217763102197843,-0.1336289013846681,-0.6675309146081864,0.5745525041024816,0.05681481343130601,0.5289357504227392,-0.8039976804504424,0.48268622966799396,0.004525243324261971,0.7536255863282552,2.942558646361195,1.1346855887988403,1.3629227552763417
-0.06292197444307482,0.7218568442111483,-0.1336461586685318,-0.6697417644187261,0.5774363879837062,0.05889143992290588,0.5274880560541724,-0.8042853018481709,0.48274950637549424,0.0052462142945681155,0.7560473584971292,2.942558646361195,1.135214812170661,1.3631125853988424
-0.06477233876846158,0.7219373782025122,-0.1336634159523955,-0.671952614229266,0.5803202718649307,0.060968066414505764,0.5260403616856055,-0.8045729232458995,0.4828127830829945,0.0059671852648742595,0.7584691306660034,2.9425586463611944,1.1357440355424815,1.3633024155213433
-0.06662270309384838,0.7220179121938763,-0.13368067323625923,-0.674163464039806,0.5832041557461555,0.06304469290610565,0.5245926673170387,-0.804860544643628,0.48287605979049486,0.006688156235180405,0.7608909028348776,2.942558646361195,1.136273258914302,1.3634922456438443
-0.06847306741923516,0.7220984461852402,-0.13369793052012294,-0.6763743138503457,0.58608803962738,0.06512131939770552,0.5231449729484717,-0.8051481660413564,0.4829393364979951,0.007409127205486549,0.7633126750037516,2.942558646361195,1.1368024822861222,1.3636820757663448
-0.07032343174462194,0.7221789801766042,-0.13371518780398667,-0.6785851636608856,0.5889719235086046,0.0671979458893054,0.521697278579905,-0.8054357874390851,0.4830026132054954,0.008130098175792692,0.7657344471726257,2.942558646361195,1.1373317056579428,1.3638719058888458
-0.07217379607000872,0.7222595141679682,-0.13373244508785037,-0.6807960134714255,0.5918558073898291,0.06927457238090529,0.5202495842113382,-0.8057234088368136,0.4830658899129956,0.008851069146098837,0.7681562193414998,2.942558646361195,1.1378609290297634,1.3640617360113467
-0.0740241603953955,0.7223400481593323,-0.13374970237171407,-0.6830068632819655,0.5947396912710537,0.07135119887250516,0.5188018898427713,-0.806011030234542,0.4831291666204959,0.009572040116404983,0.770577991510374,2.9425586463611952,1.138390152401584,1.3642515661338475
-0.07587452472078227,0.7224205821506962,-0.13376695965557778,-0.6852177130925052,0.5976235751522783,0.07342782536410504,0.5173541954742044,-0.8062986516322705,0.48319244332799616,0.010293011086711126,0.772999763679248,2.942558646361195,1.1389193757734042,1.3644413962563484
-0.07772488904616906,0.7225011161420601,-0.1337842169394415,-0.6874285629030451,0.6005074590335029,0.07550445185570492,0.5159065011056376,-0.8065862730299991,0.48325572003549644,0.011013982057017271,0.775421535848122,2.942558646361195,1.1394485991452248,1.3646312263788491
-0.07957525337155584,0.7225816501334241,-0.1338014742233052,-0.689639412713585,0.6033913429147275,0.0775810783473048,0.5144588067370707,-0.8068738944277276,0.4833189967429967,0.011734953027323417,0.7778433080169962,2.942558646361195,1.1399778225170454,1.3648210565013499
