left_w0,left_w1,left_w2,left_e0,left_e1,left_s0,left_s1,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.3964642590428999,0.8844634173232038,-0.0161224773677579,0.5884460600819157,-0.4277280337342244,-0.16607720331328,0.4610113942428429
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.3983859188528538,0.8826392801960687,-0.0131675684796188,0.5909782237182721,-0.4345229141790009,-0.1716051676624986,0.4610686676849722
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4003075786628077,0.8808151430689336,-0.0102126595914797,0.5935103873546287,-0.4413177946237775,-0.1771331320117173,0.4611259411271015
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4022292384727615,0.8789910059417985,-0.0072577507033407,0.5960425509909851,-0.448112675068554,-0.1826610963609359,0.4611832145692308
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4041508982827154,0.8771668688146633,-0.0043028418152016,0.5985747146273417,-0.4549075555133306,-0.1881890607101545,0.4612404880113601
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4060725580926693,0.8753427316875283,-0.0013479329270625,0.6011068782636981,-0.4617024359581071,-0.1937170250593732,0.4612977614534895
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4079942179026232,0.8735185945603932,0.0016069759610765,0.6036390419000547,-0.4684973164028838,-0.1992449894085918,0.4613550348956188
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.409915877712577,0.8716944574332581,0.0045618848492156,0.6061712055364111,-0.4752921968476603,-0.2047729537578105,0.4614123083377481
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4118375375225309,0.8698703203061229,0.0075167937373547,0.6087033691727677,-0.4820870772924368,-0.2103009181070291,0.4614695817798774
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4137591973324848,0.8680461831789879,0.0104717026254937,0.6112355328091241,-0.4888819577372134,-0.2158288824562477,0.4615268552220067
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4156808571424387,0.8662220460518527,0.0134266115136328,0.6137676964454806,-0.4956768381819899,-0.2213568468054664,0.4615841286641361
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4176025169523926,0.8643979089247177,0.0163815204017719,0.616299860081837,-0.5024717186267665,-0.226884811154685,0.4616414021062653
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4195241767623465,0.8625737717975825,0.019336429289911,0.6188320237181935,-0.509266599071543,-0.2324127755039036,0.4616986755483947
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4214458365723004,0.8607496346704475,0.0222913381780501,0.6213641873545501,-0.5160614795163196,-0.2379407398531223,0.4617559489905241
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4233674963822542,0.8589254975433123,0.0252462470661892,0.6238963509909065,-0.5228563599610961,-0.2434687042023409,0.4618132224326534
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4252891561922081,0.8571013604161773,0.0282011559543283,0.626428514627263,-0.5296512404058727,-0.2489966685515596,0.4618704958747827
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.427210816002162,0.8552772232890422,0.0311560648424673,0.6289606782636196,-0.5364461208506494,-0.2545246329007782,0.461927769316912
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4291324758121159,0.8534530861619072,0.0341109737306064,0.631492841899976,-0.5432410012954259,-0.2600525972499969,0.4619850427590413
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4310541356220698,0.8516289490347719,0.0370658826187455,0.6340250055363326,-0.5500358817402025,-0.2655805615992155,0.4620423162011707
0.4210777262745461,-0.1698883722583095,-0.4640291883353377,0.0187912646515963,0.5863641561691995,0.2945243112739994,0.8851069146098838,-0.4329757954320236,0.8498048119076369,0.0400207915068846,0.636557169172689,-0.556830762184979,-0.2711085259484341,0.4620995896433
